Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Week_Day
1503960366,4/12/2016 0:00,1,327,346,3
1503960366,4/13/2016 0:00,2,384,407,4
1503960366,4/15/2016 0:00,1,412,442,6
1503960366,4/16/2016 0:00,2,340,367,7
1503960366,4/17/2016 0:00,1,700,712,1
1503960366,4/19/2016 0:00,1,304,320,3
1503960366,4/20/2016 0:00,1,360,377,4
1503960366,4/21/2016 0:00,1,325,364,5
1503960366,4/23/2016 0:00,1,361,384,7
1503960366,4/24/2016 0:00,1,430,449,1
1503960366,4/25/2016 0:00,1,277,323,2
1503960366,4/26/2016 0:00,1,245,274,3
1503960366,4/28/2016 0:00,1,366,393,5
1503960366,4/29/2016 0:00,1,341,354,6
1503960366,4/30/2016 0:00,1,404,425,7
1503960366,5/1/2016 0:00,1,369,396,1
1503960366,5/2/2016 0:00,1,277,309,2
1503960366,5/3/2016 0:00,1,273,296,3
1503960366,5/5/2016 0:00,1,247,264,5
1503960366,5/6/2016 0:00,1,334,367,6
1503960366,5/7/2016 0:00,1,331,349,7
1503960366,5/8/2016 0:00,1,594,611,1
1503960366,5/9/2016 0:00,1,338,342,2
1503960366,5/10/2016 0:00,1,383,403,3
1503960366,5/11/2016 0:00,1,285,306,4
1644430081,4/29/2016 0:00,1,119,127,6
1644430081,4/30/2016 0:00,1,124,142,7
1644430081,5/2/2016 0:00,1,796,961,2
1644430081,5/8/2016 0:00,1,137,154,1
1844505072,4/15/2016 0:00,1,644,961,6
1844505072,4/30/2016 0:00,1,722,961,7
1844505072,5/1/2016 0:00,1,590,961,1
1927972279,4/12/2016 0:00,3,750,775,3
1927972279,4/13/2016 0:00,1,398,422,4
1927972279,4/15/2016 0:00,2,475,499,6
1927972279,4/26/2016 0:00,1,296,315,3
1927972279,4/28/2016 0:00,1,166,178,5
2026352035,4/12/2016 0:00,1,503,546,3
2026352035,4/13/2016 0:00,1,531,565,4
2026352035,4/14/2016 0:00,1,545,568,5
2026352035,4/15/2016 0:00,1,523,573,6
2026352035,4/16/2016 0:00,1,524,567,7
2026352035,4/17/2016 0:00,1,437,498,1
2026352035,4/19/2016 0:00,1,498,540,3
2026352035,4/20/2016 0:00,1,461,510,4
2026352035,4/21/2016 0:00,1,477,514,5
2026352035,4/22/2016 0:00,1,520,545,6
2026352035,4/23/2016 0:00,1,522,554,7
2026352035,4/24/2016 0:00,1,555,591,1
2026352035,4/25/2016 0:00,1,506,531,2
2026352035,4/27/2016 0:00,1,508,545,4
2026352035,4/28/2016 0:00,1,513,545,5
2026352035,4/29/2016 0:00,1,490,510,6
2026352035,4/30/2016 0:00,1,573,607,7
2026352035,5/1/2016 0:00,1,527,546,1
2026352035,5/2/2016 0:00,1,511,543,2
2026352035,5/4/2016 0:00,1,538,560,4
2026352035,5/5/2016 0:00,1,468,485,5
2026352035,5/6/2016 0:00,1,524,548,6
2026352035,5/7/2016 0:00,1,511,521,7
2026352035,5/8/2016 0:00,1,541,568,1
2026352035,5/9/2016 0:00,1,531,556,2
2026352035,5/10/2016 0:00,1,357,380,3
2026352035,5/11/2016 0:00,1,523,553,4
2026352035,5/12/2016 0:00,1,456,485,5
2320127002,4/23/2016 0:00,1,61,69,7
2347167796,4/13/2016 0:00,1,467,531,4
2347167796,4/14/2016 0:00,1,445,489,5
2347167796,4/15/2016 0:00,1,452,504,6
2347167796,4/17/2016 0:00,1,556,602,1
2347167796,4/18/2016 0:00,1,500,557,2
2347167796,4/19/2016 0:00,1,465,514,3
2347167796,4/21/2016 0:00,1,460,484,5
2347167796,4/22/2016 0:00,1,405,461,6
2347167796,4/23/2016 0:00,1,374,386,7
2347167796,4/24/2016 0:00,1,442,459,1
2347167796,4/25/2016 0:00,1,433,471,2
2347167796,4/26/2016 0:00,1,436,490,3
2347167796,4/27/2016 0:00,1,448,499,4
2347167796,4/28/2016 0:00,1,408,450,5
2347167796,4/29/2016 0:00,1,411,473,6
3977333714,4/12/2016 0:00,1,274,469,3
3977333714,4/13/2016 0:00,2,295,456,4
3977333714,4/14/2016 0:00,1,291,397,5
3977333714,4/15/2016 0:00,1,424,556,6
3977333714,4/16/2016 0:00,1,283,510,7
3977333714,4/17/2016 0:00,1,381,566,1
3977333714,4/18/2016 0:00,2,412,522,2
3977333714,4/19/2016 0:00,1,219,395,3
3977333714,4/20/2016 0:00,2,152,305,4
3977333714,4/21/2016 0:00,1,332,512,5
3977333714,4/22/2016 0:00,1,355,476,6
3977333714,4/23/2016 0:00,1,235,372,7
3977333714,4/24/2016 0:00,1,310,526,1
3977333714,4/25/2016 0:00,1,262,467,2
3977333714,4/26/2016 0:00,1,250,371,3
3977333714,4/27/2016 0:00,1,349,540,4
3977333714,4/28/2016 0:00,1,261,423,5
3977333714,4/29/2016 0:00,1,333,478,6
3977333714,4/30/2016 0:00,1,237,382,7
3977333714,5/1/2016 0:00,1,383,626,1
3977333714,5/2/2016 0:00,1,230,384,2
3977333714,5/3/2016 0:00,1,292,500,3
3977333714,5/4/2016 0:00,1,213,336,4
3977333714,5/5/2016 0:00,1,318,480,5
3977333714,5/6/2016 0:00,1,323,512,6
3977333714,5/7/2016 0:00,1,237,443,7
3977333714,5/8/2016 0:00,2,259,456,1
3977333714,5/10/2016 0:00,1,312,452,3
4020332650,4/12/2016 0:00,1,501,541,3
